Year,Team Number,Rushing Yards,Passing Yards,Time Of Possession,Rushing Yards allowed,Passing Yards Allowed,Penalty Yards,Turnovers,Win
2023,18,74,197,28.25,101,298,10,1,0
2023,19,145,244,30.25,88,200,46,1,1
2023,20,28,346,20.5,259,171,15,4,0
2023,21,88,200,29.75,145,244,45,2,0
2023,22,134,207,32.75,100,139,32,1,1
2023,23,127,312,29.5,151,228,75,1,1
2023,24,64,151,17.75,134,248,29,4,0
2023,25,55,185,20,183,267,30,3,0
2023,26,259,171,29.5,28,346,45,1,1
2023,27,55,200,24.5,198,210,31,2,1
2023,28,159,206,26.75,89,297,57,0,1
2023,29,82,311,33.5,102,316,80,0,1
2023,30,120,317,36,67,169,54,0,1
2023,31,141,200,36.75,61,281,45,0,1
2023,32,122,266,33.75,122,277,71,0,1
